"MacBookPro5,3",MB985LL/A BTO,9110,3.0 GHz Core 2 Duo (T9900),GeForce 9600M GT,2009,,85W  MAGSAFE 1,A1286,2325,15,
"MacBookAir7,2",MQD32LL/A,9111,1.8 GHz Core i5 (I5-5350U),Intel HD Graphics 6000,2017,,60W  MAGSAFE 2,A1466,3178,13.3,A1496
"MacBookAir7,2",MJVE2LL/A BTO,9112,2.2 GHz Core i7 (I7-5650U),Intel HD Graphics 6000,2015,,60W  MAGSAFE 2,A1466,2925,13.3,A1496
"MacBookAir7,2",MJVE2LL/A,9113,1.6 GHz Core i5 (I5-5250U),Intel HD Graphics 6000,2015,,60W  MAGSAFE 2,A1466,2925,13.3,A1496
"MacBookAir6,2",MF068LL/A,9114,1.7 GHz Core i7 (I7-4650U),Intel HD Graphics 5000,2014,,60W  MAGSAFE 2,A1466,2632,13.3,A1496
"MacBookAir6,2",MD760LL/B,9115,1.4 GHz Core i5 (I5-4260U),Intel HD Graphics 5000,2014,,60W  MAGSAFE 2,A1466,2632,13.3,A1496
"MacBookAir6,2",MD760LL/A BTO,9116,1.7 GHz Core i7 (I7-4650U),Intel HD Graphics 5000,2013,,60W  MAGSAFE 2,A1466,2632,13.3,A1496
"MacBookAir6,2",MD760LL/A,9117,1.3 GHz Core i5 (I5-4250U),Intel HD Graphics 5000,2013,,60W  MAGSAFE 2,A1466,2632,13.3,A1496
"MacBookAir6,1",MD711LL/A,9118,1.3 GHz Core i5 (I5-4250U),Intel HD Graphics 5000,2013,,60W  MAGSAFE 2,A1465,2631,11,A1495
"MacBookAir4,5",MD846LL/A,9119,2.0 GHz Core i7 (I7-3667U),Intel HD Graphics 4000,2012,,60W  MAGSAFE 2,A1466,2559,13.3,A1496
"MacBookAir5,2",MD231LL/A,9120,1.8 GHz Core i5 (I5-3427U),Intel HD Graphics 4000,2012,,60W  MAGSAFE 2,A1466,2559,13.3,A1496
"MacBookAir7,2",Z0UU1LL/A,9121,2.2 GHz Core i7 (I7-5650U),Intel HD Graphics 6000,2017,,60W  MAGSAFE 2,A1466,3178,13.3,A1496
"MacBookAir6,1",MD711LL/B,9122,1.4 GHz Core i5 (I5-4260U),Intel HD Graphics 5000,2014,,60W  MAGSAFE 2,A1465,2631,11,A1495
"MacBookAir7,1",MJVM2LL/A,9123,1.6 GHz Core i5 (I5-5250U),Intel HD Graphics 6000,2015,,60W  MAGSAFE 2,A1465,2924,11,A1495
"MacBookAir6,1",MD711LL/A BTO,9124,1.7 GHz Core i7 (I7-4650U),Intel HD Graphics 5000,2013,,60W  MAGSAFE 2,A1465,2631,11,A1495
"MacBookAir6,1",MF067LL/A,9125,1.7 GHz Core i7 (I7-4650U),Intel HD Graphics 5000,2014,,60W  MAGSAFE 2,A1465,2631,11,A1495
"MacBookAir7,1",MJVM2LL/A BTO,9126,2.2 GHz Core i7 (I7-5650U),Intel HD Graphics 6000,2015,,60W  MAGSAFE 2,A1465,2924,11,A1495
"MacBookAir5,1",MD845LL/A,9127,2.0 GHz Core i7 (I7-3667U),Intel HD Graphics 4000,2012,,60W  MAGSAFE 2,A1465,2558,11,A1495
"MacBookAir5,1",MD223LL/A,9128,1.7 GHz Core i5 (I5-3317U),Intel HD Graphics 4000,2012,,60W  MAGSAFE 2,A1465,2558,11,A1495
"MacBookAir4,1",MD214LL/A,9129,1.8 GHz Core i7 (I7-2677M),Intel HD Graphics 3000,2011,,60W  MAGSAFE 2,A1370,2471,11,A1495
"MacBookAir4,2",MC965LL/A,9131,1.7 GHz Core i5 (I5-2557M),Intel HD Graphics 3000,2011,,60W  MAGSAFE 2,A1369,2469,13.3,A1377
"MacBookAir4,1",MC968LL/A,9132,1.6 GHz Core i5 (I5-2467M),Intel HD Graphics 3000,2011,,60W  MAGSAFE 2,A1370,2471,11,A1495
"MacBookAir4,2",MD508LL/A,9133,1.6 GHz Core i5 (I5-2467M),Intel HD Graphics 3000,2011,,60W  MAGSAFE 2,A1369,2469,13.3,A1377
"MacBookAir5,2",MD628LL/A,9134,1.7 GHz Core i5 (I5-3317U),Intel HD Graphics 4000,2011,,60W  MAGSAFE 2,A1466,2559,13.3,A1496
"MacBookAir8,2",MVFH2LL/A,9135,1.6 GHz Core i5 (I5-8210Y),Intel UHD Graphics 617,2019,,61W  USB C,A1932,3184,13.3,A1965
"MacBookAir9,1",MWTJ2LL/A,9136,1.1 GHz Core i3 (I3-1000NG4),Intel Iris Plus graphics,2020,,61W  USB C,A2179,3302,13.3,A1965
"MacBookAir9,1",MVH22LL/A,9137,1.1 GHz Core i5 (I5-1030NG7),Intel Iris Plus graphics,2020,,61W  USB C,A2179,3302,13.3,A1965
"MacBookAir9,1",MVH22LL/A BTO,9138,1.2 GHz Core i7 (I7-1060NG7,Intel Iris Plus graphics,2020,,61W  USB C,A2179,3302,13.3,A1965
"MacBookAir8,1",MRE82LL/A,9139,1.6 GHz Core i5 (I5-8210Y),Intel UHD Graphics 617,2018,,61W  USB C,A1932,3184,13.3,A1965
"MacBookPro10,1",MC975LL/A,9211,2.3 GHz Core i7 (I7-3615QM),NVIDIA GeForce GT 650M,2012,Intel HD Graphics 4000,85W,A1398,2512,15.4,A1618
"MacBookPro10,1",MC976LL/A,9212,2.6 GHz Core i7 (I7-3720QM),NVIDIA GeForce GT 650M,2012,Intel HD Graphics 4000,85W,A1398,2512,15.4,A1618
